Loading PyTorch/Python3.11
  Loading requirement: Python/Python3.11 cuda/cuda-11.6
[Gen 451 | Timestep 0] Prompt Length: 7 | Generated Tokens: 8015 | Reward: -33849
Generation 460 SUMMARY: {"generation": 460, "population": [{"prompt_length": 7, "reward": -8877}, {"prompt_length": 7, "reward": -68811}, {"prompt_length": 7, "reward": -38019}, {"prompt_length": 7, "reward": -63309}, {"prompt_length": 7, "reward": -28563}, {"prompt_length": 7, "reward": -69147}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -48597}, {"prompt_length": 7, "reward": -22503}, {"prompt_length": 7, "reward": 12957}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -71367}, {"prompt_length": 7, "reward": -39723}, {"prompt_length": 7, "reward": -54087}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -33885}, {"prompt_length": 7, "reward": -78933}, {"prompt_length": 7, "reward": -79539}, {"prompt_length": 7, "reward": -80103}, {"prompt_length": 7, "reward": -78495}], "best_reward": 16374, "average_reward": -40094.55}
--- End of Generation 460 ---

[Gen 461 | Timestep 0] Prompt Length: 7 | Generated Tokens: 2031 | Reward: -69753
[Gen 461 | Timestep 1] Prompt Length: 7 | Generated Tokens: 6700 | Reward: -41739
[Gen 461 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2895 | Reward: -64569
[Gen 461 | Timestep 3] Prompt Length: 7 | Generated Tokens: 11202 | Reward: -14727
[Gen 461 | Timestep 4] Prompt Length: 7 | Generated Tokens: 4088 | Reward: -57411
[Gen 461 | Timestep 5] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 461 | Timestep 6] Prompt Length: 7 | Generated Tokens: 900 | Reward: -76539
[Gen 461 | Timestep 7] Prompt Length: 7 | Generated Tokens: 95 | Reward: -81369
[Gen 461 | Timestep 8] Prompt Length: 7 | Generated Tokens: 5333 | Reward: -49941
[Gen 461 | Timestep 9] Prompt Length: 7 | Generated Tokens: 1208 | Reward: -74691
[Gen 461 | Timestep 10] Prompt Length: 7 | Generated Tokens: 3749 | Reward: -59445
[Gen 461 | Timestep 11] Prompt Length: 7 | Generated Tokens: 14848 | Reward: 7149
[Gen 461 | Timestep 12] Prompt Length: 7 | Generated Tokens: 1185 | Reward: -74829
[Gen 461 | Timestep 13] Prompt Length: 7 | Generated Tokens: 2037 | Reward: -69717
[Gen 461 | Timestep 14] Prompt Length: 7 | Generated Tokens: 8724 | Reward: -29595
[Gen 461 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1425 | Reward: -73389
[Gen 461 | Timestep 16] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 461 | Timestep 17] Prompt Length: 7 | Generated Tokens: 11013 | Reward: -15861
[Gen 461 | Timestep 18] Prompt Length: 7 | Generated Tokens: 1249 | Reward: -74445
[Gen 461 | Timestep 19] Prompt Length: 7 | Generated Tokens: 7435 | Reward: -37329
Generation 461 SUMMARY: {"generation": 461, "population": [{"prompt_length": 7, "reward": -69753}, {"prompt_length": 7, "reward": -41739}, {"prompt_length": 7, "reward": -64569}, {"prompt_length": 7, "reward": -14727}, {"prompt_length": 7, "reward": -57411}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -76539}, {"prompt_length": 7, "reward": -81369}, {"prompt_length": 7, "reward": -49941}, {"prompt_length": 7, "reward": -74691}, {"prompt_length": 7, "reward": -59445}, {"prompt_length": 7, "reward": 7149}, {"prompt_length": 7, "reward": -74829}, {"prompt_length": 7, "reward": -69717}, {"prompt_length": 7, "reward": -29595}, {"prompt_length": 7, "reward": -73389}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -15861}, {"prompt_length": 7, "reward": -74445}, {"prompt_length": 7, "reward": -37329}], "best_reward": 16374, "average_reward": -46273.0}
--- End of Generation 461 ---

[Gen 462 | Timestep 0] Prompt Length: 7 | Generated Tokens: 3921 | Reward: -58413
[Gen 462 | Timestep 1] Prompt Length: 7 | Generated Tokens: 3707 | Reward: -59697
[Gen 462 | Timestep 2] Prompt Length: 7 | Generated Tokens: 3313 | Reward: -62061
[Gen 462 | Timestep 3] Prompt Length: 7 | Generated Tokens: 5652 | Reward: -48027
[Gen 462 | Timestep 4] Prompt Length: 7 | Generated Tokens: 4125 | Reward: -57189
[Gen 462 | Timestep 5] Prompt Length: 7 | Generated Tokens: 8449 | Reward: -31245
[Gen 462 | Timestep 6] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 462 | Timestep 7] Prompt Length: 7 | Generated Tokens: 12311 | Reward: -8073
[Gen 462 | Timestep 8] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 462 | Timestep 9] Prompt Length: 7 | Generated Tokens: 1719 | Reward: -71625
[Gen 462 | Timestep 10] Prompt Length: 7 | Generated Tokens: 3448 | Reward: -61251
[Gen 462 | Timestep 11] Prompt Length: 7 | Generated Tokens: 11052 | Reward: -15627
[Gen 462 | Timestep 12] Prompt Length: 7 | Generated Tokens: 5559 | Reward: -48585
[Gen 462 | Timestep 13] Prompt Length: 7 | Generated Tokens: 331 | Reward: -79953
[Gen 462 | Timestep 14] Prompt Length: 7 | Generated Tokens: 11181 | Reward: -14853
[Gen 462 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1371 | Reward: -73713
[Gen 462 | Timestep 16] Prompt Length: 7 | Generated Tokens: 11223 | Reward: -14601
[Gen 462 | Timestep 17] Prompt Length: 7 | Generated Tokens: 11488 | Reward: -13011
[Gen 462 | Timestep 18] Prompt Length: 7 | Generated Tokens: 846 | Reward: -76863
[Gen 462 | Timestep 19] Prompt Length: 7 | Generated Tokens: 1874 | Reward: -70695
Generation 462 SUMMARY: {"generation": 462, "population": [{"prompt_length": 7, "reward": -58413}, {"prompt_length": 7, "reward": -59697}, {"prompt_length": 7, "reward": -62061}, {"prompt_length": 7, "reward": -48027}, {"prompt_length": 7, "reward": -57189}, {"prompt_length": 7, "reward": -31245}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -8073}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -71625}, {"prompt_length": 7, "reward": -61251}, {"prompt_length": 7, "reward": -15627}, {"prompt_length": 7, "reward": -48585}, {"prompt_length": 7, "reward": -79953}, {"prompt_length": 7, "reward": -14853}, {"prompt_length": 7, "reward": -73713}, {"prompt_length": 7, "reward": -14601}, {"prompt_length": 7, "reward": -13011}, {"prompt_length": 7, "reward": -76863}, {"prompt_length": 7, "reward": -70695}], "best_reward": 16374, "average_reward": -41637.1}
--- End of Generation 462 ---

[Gen 463 | Timestep 0] Prompt Length: 7 | Generated Tokens: 6165 | Reward: -44949
[Gen 463 | Timestep 1] Prompt Length: 7 | Generated Tokens: 11811 | Reward: -11073
[Gen 463 | Timestep 2] Prompt Length: 7 | Generated Tokens: 4888 | Reward: -52611
[Gen 463 | Timestep 3] Prompt Length: 7 | Generated Tokens: 5671 | Reward: -47913
[Gen 463 | Timestep 4] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 463 | Timestep 5] Prompt Length: 7 | Generated Tokens: 2039 | Reward: -69705
[Gen 463 | Timestep 6] Prompt Length: 7 | Generated Tokens: 318 | Reward: -80031
[Gen 463 | Timestep 7] Prompt Length: 7 | Generated Tokens: 2714 | Reward: -65655
[Gen 463 | Timestep 8] Prompt Length: 7 | Generated Tokens: 7241 | Reward: -38493
[Gen 463 | Timestep 9] Prompt Length: 7 | Generated Tokens: 863 | Reward: -76761
[Gen 463 | Timestep 10] Prompt Length: 7 | Generated Tokens: 14006 | Reward: 2097
[Gen 463 | Timestep 11] Prompt Length: 7 | Generated Tokens: 5148 | Reward: -51051
[Gen 463 | Timestep 12] Prompt Length: 7 | Generated Tokens: 9632 | Reward: -24147
[Gen 463 | Timestep 13] Prompt Length: 7 | Generated Tokens: 7610 | Reward: -36279
[Gen 463 | Timestep 14] Prompt Length: 7 | Generated Tokens: 9441 | Reward: -25293
[Gen 463 | Timestep 15] Prompt Length: 7 | Generated Tokens: 5372 | Reward: -49707
[Gen 463 | Timestep 16] Prompt Length: 7 | Generated Tokens: 7223 | Reward: -38601
[Gen 463 | Timestep 17] Prompt Length: 7 | Generated Tokens: 3385 | Reward: -61629
[Gen 463 | Timestep 18] Prompt Length: 7 | Generated Tokens: 11115 | Reward: -15249
[Gen 463 | Timestep 19] Prompt Length: 7 | Generated Tokens: 481 | Reward: -79053
Generation 463 SUMMARY: {"generation": 463, "population": [{"prompt_length": 7, "reward": -44949}, {"prompt_length": 7, "reward": -11073}, {"prompt_length": 7, "reward": -52611}, {"prompt_length": 7, "reward": -47913}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -69705}, {"prompt_length": 7, "reward": -80031}, {"prompt_length": 7, "reward": -65655}, {"prompt_length": 7, "reward": -38493}, {"prompt_length": 7, "reward": -76761}, {"prompt_length": 7, "reward": 2097}, {"prompt_length": 7, "reward": -51051}, {"prompt_length": 7, "reward": -24147}, {"prompt_length": 7, "reward": -36279}, {"prompt_length": 7, "reward": -25293}, {"prompt_length": 7, "reward": -49707}, {"prompt_length": 7, "reward": -38601}, {"prompt_length": 7, "reward": -61629}, {"prompt_length": 7, "reward": -15249}, {"prompt_length": 7, "reward": -79053}], "best_reward": 16374, "average_reward": -42486.65}
--- End of Generation 463 ---

[Gen 464 | Timestep 0] Prompt Length: 7 | Generated Tokens: 11532 | Reward: -12747
[Gen 464 | Timestep 1] Prompt Length: 7 | Generated Tokens: 3924 | Reward: -58395
[Gen 464 | Timestep 2] Prompt Length: 7 | Generated Tokens: 3807 | Reward: -59097
[Gen 464 | Timestep 3] Prompt Length: 7 | Generated Tokens: 7492 | Reward: -36987
[Gen 464 | Timestep 4] Prompt Length: 7 | Generated Tokens: 15419 | Reward: 10575
[Gen 464 | Timestep 5] Prompt Length: 7 | Generated Tokens: 3511 | Reward: -60873
[Gen 464 | Timestep 6] Prompt Length: 7 | Generated Tokens: 13901 | Reward: 1467
[Gen 464 | Timestep 7] Prompt Length: 7 | Generated Tokens: 3749 | Reward: -59445
[Gen 464 | Timestep 8] Prompt Length: 7 | Generated Tokens: 15423 | Reward: 10599
[Gen 464 | Timestep 9] Prompt Length: 7 | Generated Tokens: 10798 | Reward: -17151
[Gen 464 | Timestep 10] Prompt Length: 7 | Generated Tokens: 4449 | Reward: -55245
[Gen 464 | Timestep 11] Prompt Length: 7 | Generated Tokens: 1808 | Reward: -71091
[Gen 464 | Timestep 12] Prompt Length: 7 | Generated Tokens: 2720 | Reward: -65619
[Gen 464 | Timestep 13] Prompt Length: 7 | Generated Tokens: 3586 | Reward: -60423
[Gen 464 | Timestep 14] Prompt Length: 7 | Generated Tokens: 7773 | Reward: -35301
[Gen 464 | Timestep 15] Prompt Length: 7 | Generated Tokens: 465 | Reward: -79149
[Gen 464 | Timestep 16] Prompt Length: 7 | Generated Tokens: 497 | Reward: -78957
[Gen 464 | Timestep 17] Prompt Length: 7 | Generated Tokens: 9072 | Reward: -27507
[Gen 464 | Timestep 18] Prompt Length: 7 | Generated Tokens: 1194 | Reward: -74775
[Gen 464 | Timestep 19] Prompt Length: 7 | Generated Tokens: 4178 | Reward: -56871
Generation 464 SUMMARY: {"generation": 464, "population": [{"prompt_length": 7, "reward": -12747}, {"prompt_length": 7, "reward": -58395}, {"prompt_length": 7, "reward": -59097}, {"prompt_length": 7, "reward": -36987}, {"prompt_length": 7, "reward": 10575}, {"prompt_length": 7, "reward": -60873}, {"prompt_length": 7, "reward": 1467}, {"prompt_length": 7, "reward": -59445}, {"prompt_length": 7, "reward": 10599}, {"prompt_length": 7, "reward": -17151}, {"prompt_length": 7, "reward": -55245}, {"prompt_length": 7, "reward": -71091}, {"prompt_length": 7, "reward": -65619}, {"prompt_length": 7, "reward": -60423}, {"prompt_length": 7, "reward": -35301}, {"prompt_length": 7, "reward": -79149}, {"prompt_length": 7, "reward": -78957}, {"prompt_length": 7, "reward": -27507}, {"prompt_length": 7, "reward": -74775}, {"prompt_length": 7, "reward": -56871}], "best_reward": 16374, "average_reward": -44349.6}
--- End of Generation 464 ---

[Gen 465 | Timestep 0] Prompt Length: 7 | Generated Tokens: 5476 | Reward: -49083
[Gen 465 | Timestep 1] Prompt Length: 7 | Generated Tokens: 3679 | Reward: -59865
[Gen 465 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2663 | Reward: -65961
[Gen 465 | Timestep 3] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 465 | Timestep 4] Prompt Length: 7 | Generated Tokens: 4654 | Reward: -54015
[Gen 465 | Timestep 5] Prompt Length: 7 | Generated Tokens: 438 | Reward: -79311
[Gen 465 | Timestep 6] Prompt Length: 7 | Generated Tokens: 975 | Reward: -76089
[Gen 465 | Timestep 7] Prompt Length: 7 | Generated Tokens: 4580 | Reward: -54459
[Gen 465 | Timestep 8] Prompt Length: 7 | Generated Tokens: 5794 | Reward: -47175
[Gen 465 | Timestep 9] Prompt Length: 7 | Generated Tokens: 834 | Reward: -76935
[Gen 465 | Timestep 10] Prompt Length: 7 | Generated Tokens: 1190 | Reward: -74799
[Gen 465 | Timestep 11] Prompt Length: 7 | Generated Tokens: 5384 | Reward: -49635
[Gen 465 | Timestep 12] Prompt Length: 7 | Generated Tokens: 14546 | Reward: 5337
[Gen 465 | Timestep 13] Prompt Length: 7 | Generated Tokens: 2838 | Reward: -64911
[Gen 465 | Timestep 14] Prompt Length: 7 | Generated Tokens: 11879 | Reward: -10665
[Gen 465 | Timestep 15] Prompt Length: 7 | Generated Tokens: 8628 | Reward: -30171
[Gen 465 | Timestep 16] Prompt Length: 7 | Generated Tokens: 1537 | Reward: -72717
[Gen 465 | Timestep 17] Prompt Length: 7 | Generated Tokens: 1018 | Reward: -75831
[Gen 465 | Timestep 18] Prompt Length: 7 | Generated Tokens: 4087 | Reward: -57417
[Gen 465 | Timestep 19] Prompt Length: 7 | Generated Tokens: 10227 | Reward: -20577
Generation 465 SUMMARY: {"generation": 465, "population": [{"prompt_length": 7, "reward": -49083}, {"prompt_length": 7, "reward": -59865}, {"prompt_length": 7, "reward": -65961}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -54015}, {"prompt_length": 7, "reward": -79311}, {"prompt_length": 7, "reward": -76089}, {"prompt_length": 7, "reward": -54459}, {"prompt_length": 7, "reward": -47175}, {"prompt_length": 7, "reward": -76935}, {"prompt_length": 7, "reward": -74799}, {"prompt_length": 7, "reward": -49635}, {"prompt_length": 7, "reward": 5337}, {"prompt_length": 7, "reward": -64911}, {"prompt_length": 7, "reward": -10665}, {"prompt_length": 7, "reward": -30171}, {"prompt_length": 7, "reward": -72717}, {"prompt_length": 7, "reward": -75831}, {"prompt_length": 7, "reward": -57417}, {"prompt_length": 7, "reward": -20577}], "best_reward": 16374, "average_reward": -49895.45}
--- End of Generation 465 ---

[Gen 466 | Timestep 0] Prompt Length: 7 | Generated Tokens: 5625 | Reward: -48189
[Gen 466 | Timestep 1] Prompt Length: 7 | Generated Tokens: 6437 | Reward: -43317
[Gen 466 | Timestep 2] Prompt Length: 7 | Generated Tokens: 589 | Reward: -78405
[Gen 466 | Timestep 3] Prompt Length: 7 | Generated Tokens: 991 | Reward: -75993
[Gen 466 | Timestep 4] Prompt Length: 7 | Generated Tokens: 1978 | Reward: -70071
[Gen 466 | Timestep 5] Prompt Length: 7 | Generated Tokens: 10083 | Reward: -21441
[Gen 466 | Timestep 6] Prompt Length: 7 | Generated Tokens: 3250 | Reward: -62439
[Gen 466 | Timestep 7] Prompt Length: 7 | Generated Tokens: 5332 | Reward: -49947
[Gen 466 | Timestep 8] Prompt Length: 7 | Generated Tokens: 7259 | Reward: -38385
[Gen 466 | Timestep 9] Prompt Length: 7 | Generated Tokens: 3076 | Reward: -63483
[Gen 466 | Timestep 10] Prompt Length: 7 | Generated Tokens: 6026 | Reward: -45783
[Gen 466 | Timestep 11] Prompt Length: 7 | Generated Tokens: 850 | Reward: -76839
[Gen 466 | Timestep 12] Prompt Length: 7 | Generated Tokens: 267 | Reward: -80337
[Gen 466 | Timestep 13] Prompt Length: 7 | Generated Tokens: 5815 | Reward: -47049
[Gen 466 | Timestep 14] Prompt Length: 7 | Generated Tokens: 2352 | Reward: -67827
[Gen 466 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1946 | Reward: -70263
[Gen 466 | Timestep 16] Prompt Length: 7 | Generated Tokens: 961 | Reward: -76173
[Gen 466 | Timestep 17] Prompt Length: 7 | Generated Tokens: 6322 | Reward: -44007
[Gen 466 | Timestep 18] Prompt Length: 7 | Generated Tokens: 10066 | Reward: -21543
[Gen 466 | Timestep 19] Prompt Length: 7 | Generated Tokens: 9731 | Reward: -23553
Generation 466 SUMMARY: {"generation": 466, "population": [{"prompt_length": 7, "reward": -48189}, {"prompt_length": 7, "reward": -43317}, {"prompt_length": 7, "reward": -78405}, {"prompt_length": 7, "reward": -75993}, {"prompt_length": 7, "reward": -70071}, {"prompt_length": 7, "reward": -21441}, {"prompt_length": 7, "reward": -62439}, {"prompt_length": 7, "reward": -49947}, {"prompt_length": 7, "reward": -38385}, {"prompt_length": 7, "reward": -63483}, {"prompt_length": 7, "reward": -45783}, {"prompt_length": 7, "reward": -76839}, {"prompt_length": 7, "reward": -80337}, {"prompt_length": 7, "reward": -47049}, {"prompt_length": 7, "reward": -67827}, {"prompt_length": 7, "reward": -70263}, {"prompt_length": 7, "reward": -76173}, {"prompt_length": 7, "reward": -44007}, {"prompt_length": 7, "reward": -21543}, {"prompt_length": 7, "reward": -23553}], "best_reward": 16374, "average_reward": -55252.2}
--- End of Generation 466 ---

[Gen 467 | Timestep 0] Prompt Length: 7 | Generated Tokens: 150 | Reward: -81039
[Gen 467 | Timestep 1] Prompt Length: 7 | Generated Tokens: 188 | Reward: -80811
[Gen 467 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2749 | Reward: -65445
[Gen 467 | Timestep 3] Prompt Length: 7 | Generated Tokens: 3630 | Reward: -60159
[Gen 467 | Timestep 4] Prompt Length: 7 | Generated Tokens: 5128 | Reward: -51171
[Gen 467 | Timestep 5] Prompt Length: 7 | Generated Tokens: 5805 | Reward: -47109
[Gen 467 | Timestep 6] Prompt Length: 7 | Generated Tokens: 3205 | Reward: -62709
[Gen 467 | Timestep 7] Prompt Length: 7 | Generated Tokens: 3954 | Reward: -58215
[Gen 467 | Timestep 8] Prompt Length: 7 | Generated Tokens: 5384 | Reward: -49635
[Gen 467 | Timestep 9] Prompt Length: 7 | Generated Tokens: 2215 | Reward: -68649
[Gen 467 | Timestep 10] Prompt Length: 7 | Generated Tokens: 1482 | Reward: -73047
[Gen 467 | Timestep 11] Prompt Length: 7 | Generated Tokens: 6056 | Reward: -45603
[Gen 467 | Timestep 12] Prompt Length: 7 | Generated Tokens: 12690 | Reward: -5799
[Gen 467 | Timestep 13] Prompt Length: 7 | Generated Tokens: 2385 | Reward: -67629
[Gen 467 | Timestep 14] Prompt Length: 7 | Generated Tokens: 8445 | Reward: -31269
[Gen 467 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1560 | Reward: -72579
[Gen 467 | Timestep 16] Prompt Length: 7 | Generated Tokens: 1874 | Reward: -70695
[Gen 467 | Timestep 17] Prompt Length: 7 | Generated Tokens: 4540 | Reward: -54699
[Gen 467 | Timestep 18] Prompt Length: 7 | Generated Tokens: 3532 | Reward: -60747
[Gen 467 | Timestep 19] Prompt Length: 7 | Generated Tokens: 5065 | Reward: -51549
Generation 467 SUMMARY: {"generation": 467, "population": [{"prompt_length": 7, "reward": -81039}, {"prompt_length": 7, "reward": -80811}, {"prompt_length": 7, "reward": -65445}, {"prompt_length": 7, "reward": -60159}, {"prompt_length": 7, "reward": -51171}, {"prompt_length": 7, "reward": -47109}, {"prompt_length": 7, "reward": -62709}, {"prompt_length": 7, "reward": -58215}, {"prompt_length": 7, "reward": -49635}, {"prompt_length": 7, "reward": -68649}, {"prompt_length": 7, "reward": -73047}, {"prompt_length": 7, "reward": -45603}, {"prompt_length": 7, "reward": -5799}, {"prompt_length": 7, "reward": -67629}, {"prompt_length": 7, "reward": -31269}, {"prompt_length": 7, "reward": -72579}, {"prompt_length": 7, "reward": -70695}, {"prompt_length": 7, "reward": -54699}, {"prompt_length": 7, "reward": -60747}, {"prompt_length": 7, "reward": -51549}], "best_reward": 16374, "average_reward": -57927.9}
--- End of Generation 467 ---

[Gen 468 | Timestep 0] Prompt Length: 7 | Generated Tokens: 3340 | Reward: -61899
[Gen 468 | Timestep 1] Prompt Length: 7 | Generated Tokens: 3898 | Reward: -58551
[Gen 468 | Timestep 2] Prompt Length: 7 | Generated Tokens: 4658 | Reward: -53991
[Gen 468 | Timestep 3] Prompt Length: 7 | Generated Tokens: 7231 | Reward: -38553
[Gen 468 | Timestep 4] Prompt Length: 7 | Generated Tokens: 1643 | Reward: -72081
[Gen 468 | Timestep 5] Prompt Length: 7 | Generated Tokens: 3660 | Reward: -59979
[Gen 468 | Timestep 6] Prompt Length: 7 | Generated Tokens: 2980 | Reward: -64059
[Gen 468 | Timestep 7] Prompt Length: 7 | Generated Tokens: 1330 | Reward: -73959
[Gen 468 | Timestep 8] Prompt Length: 7 | Generated Tokens: 3484 | Reward: -61035
[Gen 468 | Timestep 9] Prompt Length: 7 | Generated Tokens: 2549 | Reward: -66645
[Gen 468 | Timestep 10] Prompt Length: 7 | Generated Tokens: 921 | Reward: -76413
[Gen 468 | Timestep 11] Prompt Length: 7 | Generated Tokens: 3221 | Reward: -62613
[Gen 468 | Timestep 12] Prompt Length: 7 | Generated Tokens: 15438 | Reward: 10689
[Gen 468 | Timestep 13] Prompt Length: 7 | Generated Tokens: 5337 | Reward: -49917
[Gen 468 | Timestep 14] Prompt Length: 7 | Generated Tokens: 7985 | Reward: -34029
[Gen 468 | Timestep 15] Prompt Length: 7 | Generated Tokens: 5519 | Reward: -48825
[Gen 468 | Timestep 16] Prompt Length: 7 | Generated Tokens: 10639 | Reward: -18105
[Gen 468 | Timestep 17] Prompt Length: 7 | Generated Tokens: 3667 | Reward: -59937
[Gen 468 | Timestep 18] Prompt Length: 7 | Generated Tokens: 2559 | Reward: -66585
[Gen 468 | Timestep 19] Prompt Length: 7 | Generated Tokens: 2525 | Reward: -66789
Generation 468 SUMMARY: {"generation": 468, "population": [{"prompt_length": 7, "reward": -61899}, {"prompt_length": 7, "reward": -58551}, {"prompt_length": 7, "reward": -53991}, {"prompt_length": 7, "reward": -38553}, {"prompt_length": 7, "reward": -72081}, {"prompt_length": 7, "reward": -59979}, {"prompt_length": 7, "reward": -64059}, {"prompt_length": 7, "reward": -73959}, {"prompt_length": 7, "reward": -61035}, {"prompt_length": 7, "reward": -66645}, {"prompt_length": 7, "reward": -76413}, {"prompt_length": 7, "reward": -62613}, {"prompt_length": 7, "reward": 10689}, {"prompt_length": 7, "reward": -49917}, {"prompt_length": 7, "reward": -34029}, {"prompt_length": 7, "reward": -48825}, {"prompt_length": 7, "reward": -18105}, {"prompt_length": 7, "reward": -59937}, {"prompt_length": 7, "reward": -66585}, {"prompt_length": 7, "reward": -66789}], "best_reward": 16374, "average_reward": -54163.8}
--- End of Generation 468 ---

[Gen 469 | Timestep 0] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 469 | Timestep 1] Prompt Length: 7 | Generated Tokens: 739 | Reward: -77505
[Gen 469 | Timestep 2] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 469 | Timestep 3] Prompt Length: 7 | Generated Tokens: 2499 | Reward: -66945
[Gen 469 | Timestep 4] Prompt Length: 7 | Generated Tokens: 655 | Reward: -78009
[Gen 469 | Timestep 5] Prompt Length: 7 | Generated Tokens: 1504 | Reward: -72915
[Gen 469 | Timestep 6] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 469 | Timestep 7] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 469 | Timestep 8] Prompt Length: 7 | Generated Tokens: 11350 | Reward: -13839
[Gen 469 | Timestep 9] Prompt Length: 7 | Generated Tokens: 3118 | Reward: -63231
[Gen 469 | Timestep 10] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 469 | Timestep 11] Prompt Length: 7 | Generated Tokens: 2455 | Reward: -67209
[Gen 469 | Timestep 12] Prompt Length: 7 | Generated Tokens: 6028 | Reward: -45771
[Gen 469 | Timestep 13] Prompt Length: 7 | Generated Tokens: 12146 | Reward: -9063
[Gen 469 | Timestep 14] Prompt Length: 7 | Generated Tokens: 875 | Reward: -76689
[Gen 469 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1400 | Reward: -73539
[Gen 469 | Timestep 16] Prompt Length: 7 | Generated Tokens: 394 | Reward: -79575
[Gen 469 | Timestep 17] Prompt Length: 7 | Generated Tokens: 566 | Reward: -78543
[Gen 469 | Timestep 18] Prompt Length: 7 | Generated Tokens: 780 | Reward: -77259
[Gen 469 | Timestep 19] Prompt Length: 7 | Generated Tokens: 3976 | Reward: -58083
Generation 469 SUMMARY: {"generation": 469, "population": [{"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -77505}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -66945}, {"prompt_length": 7, "reward": -78009}, {"prompt_length": 7, "reward": -72915}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -13839}, {"prompt_length": 7, "reward": -63231}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -67209}, {"prompt_length": 7, "reward": -45771}, {"prompt_length": 7, "reward": -9063}, {"prompt_length": 7, "reward": -76689}, {"prompt_length": 7, "reward": -73539}, {"prompt_length": 7, "reward": -79575}, {"prompt_length": 7, "reward": -78543}, {"prompt_length": 7, "reward": -77259}, {"prompt_length": 7, "reward": -58083}], "best_reward": 16374, "average_reward": -42816.25}
--- End of Generation 469 ---

[Gen 470 | Timestep 0] Prompt Length: 7 | Generated Tokens: 2659 | Reward: -65985
[Gen 470 | Timestep 1] Prompt Length: 7 | Generated Tokens: 4056 | Reward: -57603
[Gen 470 | Timestep 2] Prompt Length: 7 | Generated Tokens: 10460 | Reward: -19179
[Gen 470 | Timestep 3] Prompt Length: 7 | Generated Tokens: 10427 | Reward: -19377
[Gen 470 | Timestep 4] Prompt Length: 7 | Generated Tokens: 8400 | Reward: -31539
[Gen 470 | Timestep 5] Prompt Length: 7 | Generated Tokens: 8443 | Reward: -31281
[Gen 470 | Timestep 6] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 470 | Timestep 7] Prompt Length: 7 | Generated Tokens: 10884 | Reward: -16635
[Gen 470 | Timestep 8] Prompt Length: 7 | Generated Tokens: 6216 | Reward: -44643
[Gen 470 | Timestep 9] Prompt Length: 7 | Generated Tokens: 4048 | Reward: -57651
[Gen 470 | Timestep 10] Prompt Length: 7 | Generated Tokens: 1223 | Reward: -74601
[Gen 470 | Timestep 11] Prompt Length: 7 | Generated Tokens: 957 | Reward: -76197
[Gen 470 | Timestep 12] Prompt Length: 7 | Generated Tokens: 8225 | Reward: -32589
[Gen 470 | Timestep 13] Prompt Length: 7 | Generated Tokens: 942 | Reward: -76287
[Gen 470 | Timestep 14] Prompt Length: 7 | Generated Tokens: 8916 | Reward: -28443
[Gen 470 | Timestep 15] Prompt Length: 7 | Generated Tokens: 7036 | Reward: -39723
[Gen 470 | Timestep 16] Prompt Length: 7 | Generated Tokens: 9408 | Reward: -25491
[Gen 470 | Timestep 17] Prompt Length: 7 | Generated Tokens: 7587 | Reward: -36417
